Recommendation_Date,Rank,StockID,StockName,Industry,AI_Score,Entry_Close,Status,Elapsed_Trading_Days,Target_Date,Exit_Close,Actual_Return_5D,Weight,Contribution_Return,Completed_Date
2026-09-03,10,1303,南亞,CCL,66.51,221.0,已完成,5,2026-09-10,244.0,0.1040723981900453,0.1,0.0104072398190045,2026-09-10
2026-09-04,1,2492,華新科,被動元件,81.61,298.5,已完成,5,2026-09-11,311.5,0.0435510887772194,0.1,0.0043551088777219,2026-09-11
2026-09-04,2,3026,禾伸堂,被動元件,78.88,701.0,已完成,5,2026-09-11,744.0,0.0613409415121255,0.1,0.0061340941512125,2026-09-11
2026-09-04,3,2327,國巨,被動元件,70.76,562.0,已完成,5,2026-09-11,544.0,-0.0320284697508896,0.1,-0.0032028469750889,2026-09-11
2026-09-04,4,3624,光頡,被動元件,70.54,93.1999969482422,已完成,5,2026-09-11,124.5,0.3358369536121335,0.1,0.0335836953612133,2026-09-11
2026-09-04,5,4908,前鼎,光通訊,69.16,224.5,已完成,5,2026-09-11,237.5,0.0579064587973274,0.1,0.0057906458797327,2026-09-11
2026-09-04,6,8261,富鼎,功率元件,65.9,180.5,已完成,5,2026-09-11,162.0,-0.1024930747922437,0.1,-0.0102493074792243,2026-09-11
2026-09-04,7,5475,德宏,玻纖布,64.75,190.0,已完成,5,2026-09-11,175.0,-0.0789473684210526,0.1,-0.0078947368421052,2026-09-11
2026-09-04,8,3008,大立光,FAU,64.49,7400.0,已完成,5,2026-09-11,6660.0,-0.0999999999999999,0.1,-0.0099999999999999,2026-09-11
2026-09-04,9,3211,順達,BBU,64.01,386.0,已完成,5,2026-09-11,362.0,-0.0621761658031088,0.1,-0.0062176165803108,2026-09-11
2026-09-04,10,3131,弘塑,CoWoS,63.28,2385.0,已完成,5,2026-09-11,2325.0,-0.0251572327044025,0.1,-0.0025157232704402,2026-09-11
2026-09-07,1,3026,禾伸堂,被動元件,72.66,771.0,已完成,5,2026-09-14,731.0,-0.0518806744487678,0.1,-0.0051880674448767,2026-09-14
2026-09-07,2,3406,玉晶光,FAU,71.05,987.0,已完成,5,2026-09-14,954.0,-0.033434650455927,0.1,-0.0033434650455927,2026-09-14
2026-09-07,3,1815,富喬,玻纖布,69.76,130.0,已完成,5,2026-09-14,120.0,-0.0769230769230768,0.1,-0.0076923076923076,2026-09-14
2026-09-07,4,3008,大立光,FAU,66.28,6660.0,已完成,5,2026-09-14,5995.0,-0.0998498498498499,0.1,-0.0099849849849849,2026-09-14
2026-09-07,5,4958,臻鼎-KY,ABF／IC載板,65.34,501.0,已完成,5,2026-09-14,489.5,-0.0229540918163673,0.1,-0.0022954091816367,2026-09-14
2026-09-07,6,6173,信昌電,被動元件,64.32,286.5,已完成,5,2026-09-14,293.5,0.0244328097731238,0.1,0.0024432809773123,2026-09-14
2026-09-07,7,2455,全新,CPO,62.66,500.0,已完成,5,2026-09-14,535.0,0.07,0.1,0.007,2026-09-14
2026-09-07,8,3167,大量,CoPoS,61.28,883.0,已完成,5,2026-09-14,810.0,-0.0826727066817667,0.1,-0.0082672706681766,2026-09-14
2026-09-07,9,1303,南亞,CCL,60.82,230.5,已完成,5,2026-09-14,234.0,0.0151843817787418,0.1,0.0015184381778741,2026-09-14
2026-09-07,10,3605,宏致,連接元件,60.33,120.5,已完成,5,2026-09-14,126.5,0.0497925311203319,0.1,0.0049792531120332,2026-09-14
2026-09-08,1,3008,大立光,FAU,73.01,6500.0,已完成,5,2026-09-15,6055.0,-0.0684615384615384,0.1,-0.0068461538461538,2026-09-15
2026-09-08,2,3450,聯鈞,光通訊,66.26,527.0,已完成,5,2026-09-15,492.5,-0.0654648956356735,0.1,-0.0065464895635673,2026-09-15
2026-09-08,3,3081,聯亞,CPO,62.24,2865.0,已完成,5,2026-09-15,2675.0,-0.0663176265270506,0.1,-0.006631762652705,2026-09-15
2026-09-08,4,3406,玉晶光,FAU,61.56,1010.0,已完成,5,2026-09-15,915.0,-0.094059405940594,0.1,-0.0094059405940594,2026-09-15
2026-09-08,5,2455,全新,CPO,61.0,515.0,已完成,5,2026-09-15,520.0,0.0097087378640776,0.1,0.0009708737864077,2026-09-15
2026-09-08,6,4908,前鼎,光通訊,60.78,227.5,已完成,5,2026-09-15,224.0,-0.0153846153846153,0.1,-0.0015384615384615,2026-09-15
2026-09-08,7,8261,富鼎,功率元件,60.59,170.5,已完成,5,2026-09-15,165.0,-0.032258064516129,0.1,-0.0032258064516129,2026-09-15
2026-09-08,8,3675,德微,功率元件,60.47,274.0,已完成,5,2026-09-15,269.0,-0.0182481751824817,0.1,-0.0018248175182481,2026-09-15
2026-09-08,9,3167,大量,CoPoS,60.16,938.0,已完成,5,2026-09-15,792.0,-0.1556503198294243,0.1,-0.0155650319829424,2026-09-15
2026-09-08,10,4958,臻鼎-KY,ABF／IC載板,59.3,505.0,已完成,5,2026-09-15,477.5,-0.0544554455445545,0.1,-0.0054455445544554,2026-09-15
2026-09-09,1,3008,大立光,FAU,70.0,6870.0,已完成,5,2026-09-16,6225.0,-0.0938864628820961,0.1,-0.0093886462882096,2026-09-16
2026-09-09,2,3450,聯鈞,光通訊,69.47,520.0,已完成,5,2026-09-16,541.0,0.0403846153846154,0.1,0.0040384615384615,2026-09-16
2026-09-09,3,3406,玉晶光,FAU,63.84,1110.0,已完成,5,2026-09-16,1005.0,-0.0945945945945946,0.1,-0.0094594594594594,2026-09-16
2026-09-09,4,8039,台虹,CCL,62.81,289.5,已完成,5,2026-09-16,275.5,-0.0483592400690846,0.1,-0.0048359240069084,2026-09-16
2026-09-09,5,8261,富鼎,功率元件,60.45,170.5,已完成,5,2026-09-16,173.5,0.0175953079178885,0.1,0.0017595307917888,2026-09-16
2026-09-09,6,2455,全新,CPO,59.99,533.0,已完成,5,2026-09-16,515.0,-0.0337711069418386,0.1,-0.0033771106941838,2026-09-16
