date,Portfolio_Gross_Return,Portfolio_Net_Return,Target_Hit_Rate,Average_AI_Score,Stock_Count,Gross_Equity,Net_Equity,Running_Max,Drawdown
2022-12-07,0.02740483079920759,0.021404830799207592,0.8,0.6395914,5,1.179575431074829,0.7246861345761685,1.0731998230964828,-0.32474258849088744
2022-12-14,-0.0698077149498244,-0.07580771494982441,0.0,0.61206,5,1.0972319656205411,0.6697493346581282,1.0731998230964828,-0.37593230986032644
2022-12-21,-0.02045289499308911,-0.02645289499308911,0.0,0.6587033,5,1.0747903954446434,0.6520325258367254,1.0731998230964828,-0.39244070693617095
2022-12-28,-0.020083485320664528,-0.02608348532066453,0.0,0.69406354,5,1.0532048583149396,0.6350252450204674,1.0731998230964828,-0.40828797083823465
2023-01-05,0.06296724411547894,0.05696724411547893,1.0,0.6289377,5,1.1195222657320647,0.6712008831730402,1.0731998230964828,-0.374579767226911
2023-01-12,0.06925425934470257,0.06325425934470257,1.0,0.597937,5,1.197053951065242,0.713657197909661,1.0731998230964828,-0.3350192736236579
2023-01-31,0.06269204664379399,0.05669204664379399,0.8,0.56451076,5,1.272099713200562,0.7541158850612347,1.0731998230964828,-0.2973201552667063
2023-02-07,0.024973250060063058,0.018973250060063056,0.6,0.58342797,5,1.303868177439654,0.7684239143227672,1.0731998230964828,-0.28398803486041535
2023-02-14,0.04354260591119754,0.03754260591119754,0.8,0.56354034,5,1.3606419956500604,0.7972725505109268,1.0731998230964828,-0.25710707982547765
2023-02-21,0.039455647043939224,0.033455647043939225,0.6,0.57839173,5,1.4143270059835902,0.8239458195586417,1.0731998230964828,-0.23225311649667746
2023-03-02,0.08997790237116807,0.08397790237116806,0.8,0.5784628,5,1.541585183248888,0.8931390611526693,1.0731998230964828,-0.16777934366806702
2023-03-09,-0.02385941363524029,-0.02985941363524029,0.0,0.55098057,5,1.5048038647077953,0.8664704524919216,1.0731998230964828,-0.1926289644812733
2023-03-16,0.03395601865837787,0.027956018658377872,0.8,0.56755763,5,1.5559010128150121,0.8906935166287188,1.0731998230964828,-0.17005808474807804
2023-03-23,-0.03186628695015683,-0.037866286950156834,0.2,0.5820298,5,1.5063202246746095,0.8569662603434114,1.0731998230964828,-0.2014849034629701
2023-03-30,0.014882029992861322,0.008882029992861324,0.6,0.5746272,5,1.5287373274370706,0.8645778603706518,1.0731998230964828,-0.19439246842577562
2023-04-11,-0.021059733620522002,-0.027059733620522004,0.2,0.56300527,5,1.496542526545497,0.8411826137748211,1.0731998230964828,-0.21619199363286035
2023-04-18,-0.03441295941529345,-0.04041295941529345,0.0,0.5917379,5,1.445042069316226,0.8071879349434887,1.0731998230964828,-0.2478679947835577
2023-04-25,0.05193743788764551,0.04593743788764551,1.0,0.6678471,5,1.5200938520363725,0.8442680805686121,1.0731998230964828,-0.21331697751061707
2023-05-03,-0.0018857700444468773,-0.007885770044446875,0.2,0.6611681,5,1.5172273045854543,0.8376103766293815,1.0731998230964828,-0.2195205789238387
2023-05-10,0.022578295520451475,0.016578295520451473,0.6,0.6048867,5,1.5514837110400828,0.8514965289841401,1.0731998230964828,-0.20658156043360731
2023-05-17,0.029882218593957677,0.02388221859395768,0.6,0.59851396,5,1.5978454864383473,0.8718321552213356,1.0731998230964828,-0.18763296782340577
2023-05-24,0.05142412034118726,0.04542412034118726,0.8,0.58311254,5,1.6800132850195757,0.9114343639574263,1.0731998230964828,-0.150731909992603
2023-05-31,0.050871626392861004,0.044871626392861,0.4,0.5848435,5,1.7654782931901347,0.9523319062185388,1.0731998230964828,-0.11262386955041237
2023-06-07,0.055391657142288706,0.0493916571422887,0.6,0.5883523,5,1.8632710614986758,0.9993691572161472,1.0731998230964828,-0.06879489195899546
2023-06-14,0.0054878158500557325,-0.000512184149944267,0.4,0.56705225,5,1.8734963499629185,0.9988572961738779,1.0731998230964828,-0.06927184045568124
2023-06-21,0.0060193986621831065,1.9398662183106596e-05,0.6,0.56293994,5,1.8847736713854901,0.9988766726691354,1.0731998230964828,-0.06925378557452999
2023-06-30,-0.0006987239417506341,-0.0066987239417506325,0.2,0.5809718,5,1.8834567348965119,0.9921854735870704,1.0731998230964828,-0.07548859752479575
2023-07-07,-0.02982979287921885,-0.03582979287921885,0.0,0.5970965,5,1.827273610597579,0.956635673570676,1.0731998230964828,-0.10861364958995845
2023-07-14,0.06820940970269174,0.06220940970269173,0.6,0.59346545,5,1.9519108649417463,1.0161474141240447,1.0731998230964828,-0.05316103091391289
2023-07-21,0.0036461086988019307,-0.002353891301198068,0.4,0.5935792,5,1.9590277441256965,1.0137555135652032,1.0731998230964828,-0.055389786926880014
2023-07-28,-0.03435967368475672,-0.04035967368475672,0.2,0.5952004,5,1.8917161900981525,0.9728406718415887,1.0731998230964828,-0.09351394688579961
2023-08-07,-0.09605750920688653,-0.10205750920688654,0.0,0.6189863,5,1.710002644750983,0.8735549760182821,1.0731998230964828,-0.1860276555974163
2023-08-14,0.06925859183306389,0.06325859183306388,0.8,0.6610443,5,1.8284350199572512,0.9288148336899646,1.0731998230964828,-0.1345369112994511
2023-08-21,-0.026820428745245393,-0.0328204287452454,0.4,0.6367159,5,1.7793956087891765,0.8983307326233162,1.0731998230964828,-0.16294178093378753
2023-08-28,0.050770233354788585,0.04477023335478859,1.0,0.6881013,5,1.8697359390778892,0.9385492091526403,1.0731998230964828,-0.12546648913464942
2023-09-04,0.01885846274970886,0.01285846274970886,0.4,0.64265454,5,1.9049962846367814,0.9506175091972981,1.0731998230964828,-0.11422133256181521
2023-09-11,0.048858323354644594,0.042858323354644595,1.0,0.6209976,5,1.998071209100962,0.9913593817930628,1.0731998230964828,-0.0762583440121033
2023-09-18,-0.018482635939875248,-0.024482635939875246,0.2,0.6229348,5,1.9611415863612027,0.9670882909630435,1.0731998230964828,-0.0988739746781524
2023-09-25,0.013411357724560502,0.007411357724560504,0.6,0.6101241,5,1.987443157724405,0.9742557282386044,1.0731998230964828,-0.09219540734958087
2023-10-03,0.02473196979486305,0.018731969794863048,0.4,0.5983973,5,2.0365965418702525,0.9925054571124423,1.0731998230964828,-0.07519043914041523
2023-10-12,-0.03019861687019254,-0.03619861687019254,0.2,0.6144757,5,1.9750941431831537,0.9565781323288537,1.0731998230964828,-0.10866726611186228
2023-10-19,-0.010911603735769982,-0.01691160373576998,0.0,0.57965285,5,1.953542698551899,0.9404008620126052,1.0731998230964828,-0.12374113210409898
2023-10-26,0.04214123851329608,0.03614123851329608,0.8,0.6044612,5,2.0358674073574825,0.9743881138647119,1.0731998230964828,-0.09207205136008256
2023-11-02,0.048870786110812456,0.04287078611081246,1.0,0.60940015,5,2.1353618479724243,1.0161608982831238,1.0731998230964828,-0.053148466469912004
2023-11-09,0.014043590026161668,0.008043590026161668,0.6,0.62521803,5,2.165349994322856,1.0243344799495295,1.0731998230964828,-0.045532380918553494
2023-11-16,0.05165336743078044,0.04565336743078043,0.6,0.5973847,5,2.277197613195853,1.0710987983346827,1.0731998230964828,-0.0019577200038460862
2023-11-23,0.005131191108248912,-0.0008688088917510877,0.6,0.5912796,5,2.288882349340409,1.0701682181747456,1.0731998230964828,-0.0028248280110503288
2023-11-30,-0.022486824864179456,-0.028486824864179455,0.0,0.5357706,5,2.23741265281608,1.0396825235683906,1.0731998230964828,-0.031231182494407483
